wilderness,wildernessFull,photoCategory,photographerCategory,age,photo,title,titleFull,photographer,photographerLocation,text,photoInfo,winnerType,thumbnailPosition,lat,long,photoURL
mtHood,"Mount Hood Wilderness, Oregon",Scenic Landscape,Pro,null,20_JarrodCastaing_MountHoodMeadow_OR.jpg,Snowy Meadow,Snowy Meadow,Jarrod Castaing,"Sydney, NSW, Australia","<p>Traveling through the snowy wilderness of Oregon, I hoped to find an unobstructed view of the majestic Mount Hood. Coming from the sunny beaches of Sydney, Australia, I knew I had my work cut out for me when it came to shooting in icy conditions. I set off in the dark down a trail into the woods, wearing myheadlamp, my feet sinking in the snow. As the trail descended, the tree line rose to obscure the mountain. Not to be defeated, I returned the next morning and discovered a small clearing, freshly dusted with snow. As the sun began to rise and illuminate the lenticular cloud above, all thoughts of frostbite quickly vanished as I captured my very own winter wonderland.</p>",Canon EOS 5D; EF 17-40mm f/4L lens at 40mm; 0.8 sec at f/11; ISO 100; Feisol tripod; Giottos Pro ball head.,Honorable Mention,center,45.3729,-121.745,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/20_JarrodCastaing_MountHoodMeadow_OR.jpg
mtJefferson,"Mount Jefferson Wilderness, Oregon",Most Inspirational Moment,Pro,null,93_AdrianKlein_MtJeffersonFlowers_OR.jpg,"Wildflowers, Russell Lake in Cascade Range","Wildflowers, Russell Lake in Cascade Range",Adrian Klein,"Portland, Oregon","<p>I left my tent very early one morning to see stars still lingering in the clear, crisp sky. I could see the potential of this spot for photography, even though it was partially dark out. I watched the full moon set to the west and the sky change colors along the way as the sun rose in the east. Looking at the back of my camera, I could see what an idyllic scene I had been fortunate to witness and capture. In minutes, the golden light was gone and I made my way back to the tent for a morning of fresh summer alpine air, coffee, and oatmeal.</p>",Canon EOS 5D; EF 17-40mm f/4L USM lens at 22mm; 3-stop hard GND filter; 2.5 secs at f/16; ISO 200; Gitzo GT2541 tri- pod Acratech Ultimate ball head. ,Honorable Mention,top,44.5905,-121.834,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/93_AdrianKlein_MtJeffersonFlowers_OR.jpg
mtRainier,"Mount Rainier Wilderness, Washington",People in Wilderness,Pro,null,50_AdrianKlein_MtRainierHiker_WA.jpg,Hiking,Hiking,Adrian Klein,"Portland, Oregon","<p>The first part of the hike there is little in the way of a view, I simply enjoy soaking up the forest scene and damp rich scent of mountain alpine air. When I reached this spot I turned around to see a wonderful scene with perfect lighting; the mountain glowing in soft overhead light, the lower flanks of the mountain with splashes of fall color and the trail still in the cold shadows. I took a few photos without me in the frame. It did not take long for me to realize this was a scene that needed a hiker. I setup the timer and made my way into the composition and the result you is what you see here.</p>",Canon EOS 5D; EF 17-40mm f/4L USM lens at 24mm; Hoya Pro1 digital polarizer; 1/30 sec at f/14; ISO 200; Gitzo GT2541; Acratech Ultimate ball head.,Honorable Mention,center,46.872,-121.82,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/50_AdrianKlein_MtRainierHiker_WA.jpg
mtSneffels,"Mount Sneffels Wilderness, Colorado",Most Inspirational Moment,Pro,null,40_PhillipNoll_MtSneffels_CO.jpg,Storm over Mount Sneffels Wilderness,Storm over Mount Sneffels Wilderness,Phillip Noll,"Los Alamos, New Mexico","<p>After a full day of shooting the fall colors around Mount Sneffels, a steady rain settled in, and it seemed that there would be no more photography that day. However, something pushed me to go to the spot I had picked for sunset, just in case. Shortly after I arrived, the storm started to clear and a rainbow appeared in the east. For 20 to 25 minutes, the scene remained relatively static. I watched as other photographers in the area packed up. A few minutes later, as the sun set, light rays pierced the clouds and lit up the falling rain and the tips of Mount Sneffels with a golden hue.</p>",Canon 5D Mark II; EF24-70mm f/2.8L USM lens at 32mm; B+W circular polarizer; 1.3 sec at f/22; ISO 100; Feisol CT-3442 CF tripod; Markins Q-Ball Q3 Traveler ball head.,Honorable Mention,right,38.0116,-107.874,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/40_PhillipNoll_MtSneffels_CO.jpg
mtTimpanogos,"Mount Timpanogos Wilderness, Utah",Wildlife,Pro,null,70_HowieGarber_BigHornSheep_UT.jpg,Bighorn Sheep,"Bighorn Sheep, <em>Ovis canadensis</em>",Howie Garber,"Salt Lake City, Utah","<p>In 40 years of hiking, I had never seen bighorn sheep in the Wasatch Mountains. I had climbed about 3,500 feet on Mount Timpanogos when I saw them from afar. I didn&rsquo;t think the sheep would allow me to get close enough for a photo&mdash;I only had an 18-200mm lens with me. But to my surprise, they were not shy as I approached. Two rams stayed close to each other, even to the point of locking horns for a brief instant. In this shot, taken at about 6 p.m., wildflowers made a nice foreground with the Timpanogos cirque in the distance.</p>",Nikon D700; 18-200mm f/3.5-5.6 lens; 170mm; 1/200 sec at f/7.1; ISO 400; hand held; no flash. ,Honorable Mention,center,40.3906,-111.638,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/70_HowieGarber_BigHornSheep_UT.jpg
olympic,"Olympic Wilderness, Washington",Wildlife,Amateur,null,9_ThomasBancroft__PurpleSeaStar_WA.jpg,Purple Sea Star with Algae,"Purple Sea Star with Algae, <em>Pisaster ochraceus</em>",Thomas Bancroft,"Seattle, Washington","<p>I camped at Third Beach in the Olympic Wilderness Area so I could hike down the coast to Scotty's Beach at first light to catch low tide. I was hoping to find tidal pools containing interesting marine life. I arrived at Scotty's Beach when the tide was approaching its lowest, and found some wonderful groups of ochre sea stars. I focused on the design formed by this sea star and the brown and green algae on the side of this boulder. The waves lapped at my feet as I composed and took the shot.</p>","Nikon D800; 28-300mm lens at 78mm; 1/3 sec at f/25; ISO 100; Gitzo GT2541 tripod; Really Right Stuff B-40 head with quick release, SMDV remote release.",Honorable Mention,right,47.792,-123.61,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/9_ThomasBancroft__PurpleSeaStar_WA.jpg
olympic,"Olympic Wilderness, Washington",Scenic Landscape,Amateur,null,37_PabloMcLoud_Trail_Olympic_WA.jpg,Aurora Ridge Trail,Aurora Ridge Trail,Pablo McLoud,"Honokaa, Hawaii","<p>I live with a personal mantra of &ldquo;If you don't explore, you'll never discover.&rdquo; I was aware that Aurora Ridge was one of the lesser-hiked trails in Olympic National Park, and it needed to be discovered. </p>
<p>Near the end of my hike, I came around a bend and was greeted by a setting that depicts the majesty and wonder found along 600 miles of trails within the Olympic Wilderness. All I could do was stop, say &ldquo;Wow,&rdquo; and take a photograph to capture the perfection of the moment. This photo brings a smile to my heart and invites me to explore and wander further. </p>",Canon EOS 20D; EF 28-135mm f/3.5-5.6 IS USM lens; Hoya 72mm circular polarizer; 1/13 sec at f/5; ISO 400; hand-held.,Honorable Mention,center,47.792,-123.61,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/37_PabloMcLoud_Trail_Olympic_WA.jpg
olympic,"Olympic Wilderness, Washington",Most Inspirational Moment,Pro,null,42_JoeLeFevre__ProWinner_MilkyWay_OR.jpg,Milky Way over Second Beach,Milky Way over Second Beach,Joe LeFevre,"Oswego, New York","<p>I planned to shoot the Milky Way at Olympic National Park in late June. A friend and I made the hike into Second Beach, a location with a view to the southwest. The clouds cleared after sunset, and around midnight, this amazing view of the Milky Way galaxy appeared. When I saw the image on my camera LCD screen, I almost turned a back flip! </p>
<p>We felt very fortunate to have had such an incredible view of the stars. We need to protect dark sky wilderness areas, located away from light pollution, so that everyone can enjoy unobstructed views into the heavens. </p>",Canon 5D Mark II; Nikon 14-24 f/2.8 lens at 14mm; Novaflex adapter; 30 sec at f/2.8; ISO 3200; Induro C213 tripod; Induro DM23 ball head.,Winner,center,47.792,-123.61,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/42_JoeLeFevre__ProWinner_MilkyWay_OR.jpg
olympic,"Olympic Wilderness, Washington",Most Inspirational Moment,Amateur,null,48_MarkLagrange_MistyFalls_WA.jpg,Misty Falls,Misty Falls,Mark Lagrange,"Metairie, Louisiana","<p>Olympic National Park is a jewel of the National Park Service. The challenge was to capture the feel of the area and express the vitality of the mixture of light and water. This small waterfall had the added benefit of quickly transitioning light, accenting the foreground tree.</p>",Canon 5D Mark II; 24-105 IS lens at 100mm; 1/4 sec at f/7.1; ISO 200; Gitzo G1325 tripod; Kirk ball head.,Honorable Mention,center,47.792,-123.61,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/48_MarkLagrange_MistyFalls_WA.jpg
olympic,"Olympic Wilderness, Washington",Scenic Landscape,Pro,null,81_JoeLeFevre_GriffCreek_WA.jpg,Griff Creek,Griff Creek,Joe LeFevre,"Oswego, New York","<p>A friend and I were exploring the Elwha River corridor when we came upon Griff Creek and its surrounding temperate rainforest. The scene stopped us in our tracks. I had never seen the rainforest look so good. It was late June and a light rain was falling, which saturated the beautiful green foliage. We worked the scene for more than two hours, trying to capture the essence of its beauty. After shooting from a variety of locations, I finally discovered this composition, which demanded a panoramic format.</p>",Canon EOS 5D Mark II; 24-105 f/4L at 24mm; B+W polarizing filter; 5 secs at f/16; ISO 100; Induro C213 tripod; DM23 ball head; 4 stitched images. ,Honorable Mention,center,47.792,-123.61,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/81_JoeLeFevre_GriffCreek_WA.jpg
oregonIslands,"Oregon Islands Wilderness, Oregon",People in Wilderness,Amateur,null,59_ArnabBanerjee_OregonIslands_OR.jpg,Contemplating in the Oregon Shore,Contemplating in the Oregon Shore,Arnab Banerjee,"Seattle, Washington","<p>The coast of Oregon is known to be one of the finest stretches of seashore anywhere in the world. Rugged with rocky haystacks, tide pools, color full sunsets, sand dunes, marine life &ndash; a lot to explore and enjoy. During the last summer, I took my family to explore some of this magical coastline. We stayed a couple of night in Yachats &ndash; a small, unpretentious coastal town. One of the evenings, I went for a walk along the shore with my son exploring tide pools and potholes created by the relentless forces of the Pacific ocean. I wanted to make a subtle image where my son is contemplating looking at the ocean &ndash; blending with the surrounding and almost becoming part of it. The lack of color in the overcast sky really helped to enhance the mood that I wanted to capture and the rugged foreground helps to tell the story of the place.</p>",Sony RX100; 28-100mm f/1.8 lens; 1/30 sec at f/1.8; ISO 125; hand-held.,Honorable Mention,center,44.507,-124.122,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/59_ArnabBanerjee_OregonIslands_OR.jpg
otisPike,"Otis Pike Fire Island High Dune Wilderness, New York",Wildlife,Pro,null,8_ScottDere_SnowyOwl_NY.jpg,Snowy Owl,"Snowy Owl, <em>Bubo scandiacus</em>",Scott Joshua Dere,"Cedarhurst, New York","<p>The trick to shooting Snowy Owls is to find them when they are awake&mdash;which is often late in the evening or really early in the morning. I found this adult male Snowy Owl wide awake at the day&rsquo;s first light, with incredible colors from the sunrise reflecting off his pure white feathers. Photographing this owl on the dunes, with only the sounds of the waves crashing and the wind blowing, gave me a great feeling of solitude, and an idea of how these incredible creatures live in the wild.</p>",Canon 1D Mark IV; 600mm f/4 IS L lens; 1/500 at f/6.3; ISO 800; Gitzo tripod; Wimberley II head.,Honorable Mention,right,40.7237,-72.896,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/8_ScottDere_SnowyOwl_NY.jpg
paria,"Paria Canyon-Vermilion Cliffs Wilderness, Arizona",Scenic Landscape,Amateur,null,13_RichardAnsley_WhitePocket_AZ.jpg,White Pocket,White Pocket,Rishard Ansley,"Salt Lake City, Utah","<p>The area known as White Pocket in the Paria Canyon-Vermilion Cliffs wilderness on the Utah/Arizona border is one of the few places I've found that offers such a varied concentration of colorfully twisted petrified sands dunes. On this day, just as the last rays of the sun were falling over the horizon, I set up my camera at the base of this unusual formation. As the sun dipped lower, the reflected light I was hoping for revealed the many nooks and crannies in the twisted surface, creating the scene I wanted to capture.</p>",Canon 5D Mark II; EF 17-40 f/4 USM lens; 0.5 sec at f/13; ISO 100; Gitzo tripod; Really Right Stuff ball head.,Honorable Mention,center,36.7402,-111.928,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/13_RichardAnsley_WhitePocket_AZ.jpg
paria,"Paria Canyon-Vermilion Cliffs Wilderness, Arizona",Scenic Landscape,Pro,null,21_JosephRossbach_PariaCanyon_AZ.jpg,Twists of Time,Twists of Time,Joseph Rossbach,"Odenton, Maryland","<p>Only in the dead of winter does the sun set at the right angle in the sky to illuminate this amazing swirl of sandstone in the Paria Canyon-Vermilion Cliffs Wilderness of Northern Arizona. With that in mind, I was lucky to obtain hiking permits in late January 2010, allowing me access to this location. As sunset drew closer, I hiked further into the heart of the wilderness. I waited until the sun was at its lowest position in the sky, just before it dropped behind the sandstone mountains to the southwest. It bathed the swirling sandstone in a warm glow of light.</p>",Nikon D700; 24-70mm f/2.8 lens at 62mm; MC-30 remote release; 1/10 sec at f/14; ISO 200; Gitzo Mountaineer tripod; Arca-Swiss Ball head.,Honorable Mention,center,36.7402,-111.928,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/21_JosephRossbach_PariaCanyon_AZ.jpg
pemigewasset,"Pemigewasset Wilderness, New Hampshire",Most Inspirational Moment,Pro,null,97_HarryLichtman_Pemigewasset_NH.jpg,Clearing Storm,Clearing Storm,Harry Lichtman,"Newmarket, New Hampshire","<p>Possibly more remarkable than the size and rugged beauty of the Pemigewasset Wilderness is the fact that much of this view was decimated by logging in the late 1800s and early 1900s, before the protection afforded by the Wilderness Act. The forests have recovered amazingly well, and there are few signs of the devastation that once scarred this expanse of the White Mountains. A steep hike through rain and snow brought me atop this granite outcropping of Zeacliff. There is no better place to view the brief transition of fall to winter than in the mountains of New Hampshire.</p>",Canon 5D Mark II; 24-105L at 67mm; 1/30 sec. at f/16; ISO 100; Manfrotto 190CXPro3 tripod; 496RC2 head; Really Right Stuff Compact Quick Release Plate. ,Honorable Mention,center,44.1208,-71.525,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/97_HarryLichtman_Pemigewasset_NH.jpg
petrifiedForest,"Petrified Forest National Wilderness, Arizona",Scenic Landscape,Amateur,null,87_SamuelFeron_PetrifiedForest_AZ.jpg,Untitled,Untitled,Samuel Feron,"Noisy-le Sec, France","<p>The dry tableland of the Petrified Forest offers great texture that creates dramatic photos. In this wilderness, I framed the composition to show the tortured, gray landscape that evokes old age. A low perspective appeared to be the best way to highlight the patterns, so I looked for a portion of a flat hill for the foreground. In the background, the sky echoed the repetitive motifs.</p>","Canon EOS 5D Mark II; EF 16-35mm f/2.8L II USM at 16mm, 1/100 sec at f/20; ISO 400; Gitzo Mountaineer tripod; Arca-Swiss Monoball Z1. ",Honorable Mention,center,35.1234,-109.814,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/87_SamuelFeron_PetrifiedForest_AZ.jpg
rockyMountain,"Rocky Mountain National Park Wilderness, Colorado",Wildlife,Pro,null,31_FiRust_Coyote_RockyMountain_CO.jpg,Coyote,"Coyote, <em>Canis latrans</em>",Fi Rust,"Longmont, Colorado","<p>I had just arrived in the Rocky Mountain National Park Wilderness early one cold February morning when I spotted a pair of coyotes. At first, they were just standing quietly together, but then one wandered off to hunt. Its mate was watching for a while, but then looked away. When it looked back, it could not see where the other one had gone, so it started to howl. </p>",Canon eoS 7d; ef500mm f/4l iS uSm lens; 1/1250 sec at f/10; iSo 400; Gitzo Gt3530lS tripod; arca-Swiss b1 ball head; wimberley Sidekick.,Honorable Mention,center,40.2875,-105.705,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/31_FiRust_Coyote_RockyMountain_CO.jpg
rockyMountain,"Rocky Mountain National Park Wilderness, Colorado",People in Wilderness,Pro,null,32_EthanWelty_LongsPeak_RockyMountain_CO.jpg,The Keyhole on Longs Peak,The Keyhole on Longs Peak,Ethan Welty,"Boulder, Colorado","<p>The rewards of an early start: My friend and I, en route to the summit of Longs Peak, reached the Keyhole, a dramatic gap in a rock ridge, just as the sun breached the horizon. This image was stitched together from two separate photographs.</p>",Canon EOS 5D Mark II; Sigma 20mm f/1.8 EX DG ASP RF lens; 1/80 sec at f/8; ISO 320; hand-held.,Honorable Mention,right,40.2875,-105.705,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/32_EthanWelty_LongsPeak_RockyMountain_CO.jpg
rockyMountain,"Rocky Mountain National Park Wilderness, Colorado",Wildlife,Pro,null,67_FiRust_AmericanPika_CO.jpg,American Pika,"American Pika, <em>Ochotona princeps</em>",Fi Rust,"Longmont, Colorado","<p>I was photographing American pika down below the popular Rock Cut area of Trail Ridge Road in the Rocky Mountain National Park Wilderness when a park ranger asked if I would move further down the road. The tundra is very sensitive, and he did not want other park visitors coming down to join me. Shortly after, while I was sitting on a rock and photographing marmots, this pika stopped in front of me for a few seconds with this great mouthful of vegetation, ready to stash for its winter feeding.</p>",Canon EOS 30D; EF 100-400mm f/4.5-5.6L IS USM lens at 400mm; 1/800 sec at f/10; ISO 400; hand-held. ,Honorable Mention,center,40.2875,-105.705,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/67_FiRust_AmericanPika_CO.jpg
rockyMountain,"Rocky Mountain National Park Wilderness, Colorado",Wildlife,Pro,null,68_FiRust_YellowbelliedMarmots_CO.jpg,Yellow-Bellied Marmots,"Yellow-Bellied Marmots, <em>Marmota flaviventris</em>",Fi Rust,"Longmont, Colorado","<p>I had been hiking in the Rocky Mountain National Park Wilderness a couple of days earlier and found this family of yellow-bellied marmots playing around a downed ponderosa pine. The mom sat down at one end of the tree, and one of her babies almost joined her, so I was hoping for some mother-and-young interaction. But the sun was already too high for photography, so I returned at sunrise a few days later. Sure enough, the light was much better, and my subjects soon came up onto the tree.</p>",Canon EOS 7D; EF 500mm f/4L IS USM lens + 1.4x tele-extender at 700mm; 1/400 sec at f/8; ISO 200; Gitzo GT3530LS tripod; Arca-Swiss Z1 ball head; Wimberley Sidekick ,Honorable Mention,center,40.2875,-105.705,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/68_FiRust_YellowbelliedMarmots_CO.jpg
sacatar,"Sacatar Trail Wilderness, California",People in Wilderness,Amateur,null,92_ShelleyEllis_RelaxingInSacatar_CA.jpg,Relaxing in Sacatar,Relaxing in Sacatar,Shelley Ellis,"Ridgecrest, California","<p>We clambered up Portuguese Canyon across boulder fields and along steep side slopes, struggling to get our footing. There is no trail here&mdash;only sporadic stretches of game paths&mdash;adding to the feel of true wilderness. Sacatar is a relatively remote wilderness on the east side of the Sierra Nevada Range and has not yet been discovered by many hikers. On the way back down the canyon, we found a perfect granite boulder to sprawl out on. John and Sugar and Spice relaxed in the peaceful solitude of the wilderness while I quickly positioned myself to capture this serene moment.</p>",Canon PowerShot SX1 IS; 50X 4.3-215mm f/1:3.4-6.5 IS USM lens at 9mm; 1/500 sec at f/3.5; hand-held. ,Honorable Mention,center,35.9132,-117.96,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/92_ShelleyEllis_RelaxingInSacatar_CA.jpg
sangreDeCristo,"Sangre de Cristo Wilderness, Colorado",Scenic Landscape,Amateur,null,19_KimoBoeche_CrestoneNeedle_CO.jpg,Crestone Needle,Crestone Needle,Kimo Boeche,"Boulder, Colorado","<p>The upper South Colony Lakes basin is one of the most beautiful and accessible alpine settings in Colorado. The glacial-carved cirque is home to three of Colorado's famous &ldquo;fourteeners,&rdquo; or peaks that surpass 14,000 feet of elevation. Although the area receives a high amount of use, its natural inclinations still reign supreme. Mother Nature is the boss here, and solitude can still be found with little effort.</p>
<p> I clambered through the trees early one morning and emerged next to a beautiful pond as the sun started to rise. The sharp Crestone Needle towered high above me. I set the camera on the monopod and took a few shots at varying exposures as warm sunlight poured down the damp rock.  </p>",Nikon D5100; 16-85mm f/3.5-5.6G ED VR AF-S DX lens at 16mm; 1/13 sec at f/8; ISO 200; ProMaster C526M carbon fiber monopod; ProMaster BH23 Ball Head.,Honorable Mention,center,38.134,-105.668,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/19_KimoBoeche_CrestoneNeedle_CO.jpg
sawtooth,"Sawtooth Wilderness, Idaho",Most Inspirational Moment,n/a,null,100_RobHart_StarryNight_ID.jpg,Starry Night,Starry Night,Rob Hart,"Boise, Idaho","<p>The Sawtooth Wilderness contains more than 500 alpine lakes. The area in this image is at the epicenter of nowhere&mdash;many miles from any trail. Perhaps only a dozen people each decade visit this stunning plateau of emerald grasses, tiny crystal lakes, and ancient pines. The Milky Way was incredibly vivid one night, and I set up my tripod with the Whitebark pine framing the dense stripe of stars overhead. I aimed my headlamp at a tree to focus, and noticed how just a sliver of illumination created more of a sense of place than a black foreground. For me, this single shot conveys the closeness of a wild environment and the cosmos.</p>",Nikon D800: 14-24mm f/2.8G ED lens; 30 secs at f/2.8; ISO 3200; Benro C258 Carbon tripod; Manfrotto 468 Hydraulic head. ,Honorable Mention,center,44.0028,-115.064,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/100_RobHart_StarryNight_ID.jpg
sequoiaKings,"Sequoia-Kings Canyon Wilderness, California",Most Inspirational Moment,Pro,null,53_LarryCarver_BackcountrySkier_Sequia-KingsCanyon_CO.jpg,Backcountry Skier,Backcountry Skier,Larry Carver,"Durango, Colorado","<p>Pear Lake Hut is deep in the backcountry of the Sequoia-Kings Canyon Wilderness. While it is a long ski in, it provides access to skiing a wonderland of peaks, valleys and high tablelands of the southern Sierra Nevada. During an extended stay at the hut in the spring, Russ Howison makes graceful telemark turns through pristine powder against a backdrop of unnamed peaks.</p>",Nikon N80; 28-105 lens; Polarizer; 1/125 second at f/8; Fujichrome 100 film; hand-held.,Honorable Mention,center,36.5988,-118.849,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/53_LarryCarver_BackcountrySkier_Sequia-KingsCanyon_CO.jpg
stephenMather,"Stephen Mather Wilderness, Washington",Most Inspirational Moment,Pro,null,41_EthanWelty_StephenMather_WA.jpg,Climbing the Summit Pyramid of Sahale Mountain,Climbing the Summit Pyramid of Sahale Mountain,Ethan Welty,"Boulder, Colorado","<p>Compelled to turn back just below the summit of Mount Shuksan (at more than 9,000 feet elevation) due to near-zero visibility, we descended the Sulphide Glacier. My friend Kevin, in the lead, tugged us forward through the soup. Suddenly the clouds parted, revealing a solitary rock spire. The summit and the climber, thus aligned against the void, seemed to epitomize the mountaineer's dream and determination to reach the top.</p>",Canon EOS Digital Rebel XT; Sigma or Tamron 17-50mm f/2.8 at 30mm; 1/640 sec at f/6.3; ISO 100; hand-held tied into the climbing rope.,Honorable Mention,center,48.8308,-121.328,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/41_EthanWelty_StephenMather_WA.jpg
stephenMather,"Stephen Mather Wilderness, Washington",People in Wilderness,Pro,null,57_AndyPorter_SahaleCamp_WA.jpg,Sahale Glacier Camp,Sahale Glacial Camp,Andy Porter,"Sedro-Woolley, Washington","<p>A month in the Sawtooth Wilderness set my life on an adventurous new path. Treks along the Pacific Crest Trail and across the Andes followed. My reawakening began when I discovered my old trail guide. Finding the most exciting hike, I embarked. Having forgotten what mileage and elevation gain portended, I struggled up to camp. This image was captured the next morning. My life was changed anew, Wilderness had rescued me again.</p>",Minolta DiMAGE 7i at 9mm; 1/60 sec at f/2.8; ISO 100; hand-held.,Honorable Mention,center,48.8308,-121.328,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/57_AndyPorter_SahaleCamp_WA.jpg
stMarks,"St. Marks Wilderness, Florida",Wildlife,Amateur,null,1_TaraTanaka_SnowyEgret_FL.jpg,Snowy Egret,"Snowy Egret, <em>Egretta thula</em>",Tara Tanaka,"Tallahassee, Florida","<p>I arrived before sunrise on this winter morning, and waited for the warm light to reach the cold water where the birds were feeding. I had been photographing this gorgeous Snowy Egret running and spinning when it stopped briefly to do some preening. When I saw the exquisite reflection of the bird, I quickly rotated the camera 90 degrees. The low angle of the morning sun illuminated the bird's face, even under its outstretched wing. </p>
<p>There is nothing quite like St. Marks in January on a cold, clear day, eye pressed against viewfinder, everything blocked from view except one magnificent creature. </p>",Panasonic Lumix DMC-GH3; 20mm f/1.7 lens; 1/2000 sec at f/1.7; ISO 400; Swarovski STX 95 spotting scope; Manfrotto 055CX3 tripod; 501 HDV head.  ,Honorable Mention,top,30.11,-84.17,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/1_TaraTanaka_SnowyEgret_FL.jpg
stMarks,"St. Marks Wilderness, Florida",Wildlife,Amateur,null,11_RichardHiggins_Butterfly_FL.jpg,Gulf Fritillary Butterfly,"Gulf Fritillary Butterfly, <em>Agraulis vanillae</em>",Richard Higgins,"Crawfordville, Florida","<p>On a sunny fall day, I spotted the Gulf Fritillary hanging onto a flower. I stopped for a second to mount my camera on my tripod. Just as I started to take the shot, the subject flew away. I waited for an hour for it to return, with no results. </p>
<p>The next day, I returned to the same location and noticed a butterfly on perhaps the same flower. I once again approached the subject, this time without the tripod. I crept very close, knelt down to compose my shot, and the subject flew away again. But to my surprise, it returned and landed on the same flower. This time, I was able to get two shots before it flitted off again.  </p>",Sony DSLR A700; 70-300mm f/4.5-5.6 G SSM lens; 1/400 sec at f/5.6; Hoya CPL filter; Sony Remote Commander RMT-DSLR1; ISO 320; hand-held.,Honorable Mention,center,30.11,-84.17,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/11_RichardHiggins_Butterfly_FL.jpg
superstition,"Superstition Wilderness, Arizona",Most Inspirational Moment,Amateur,null,98_LynJewett_SuperstitionMountains_AZ.jpg,Superstition Mountains,Superstition Mountains,Lynn Jewett,"Mesa, Arizona","<p>The Superstition Mountains are a landmark in the Phoenix area not only because of their beauty, but also because of their history. There are legends about them from the Spanish and the native Apache, and many stories of the Lost Dutchman&rsquo;s Gold Mine. Hearing these stories made me curious and eager to explore. The rugged terrain taught me to respect these mountains, and enjoying their beauty in different seasons made me see their gentleness. By observing their different personalities, I grew to love them. It took me years to capture a unique image of the Superstition Mountains that displays all of these characteristics.</p>",Canon EOS 7D; EF 24-70mm zoom f/2.8 L USM lens; 1/320 sec at f/5; ISO 640; hand-held. ,Honorable Mention,right,33.4771,-111.24,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/98_LynJewett_SuperstitionMountains_AZ.jpg
terror,"Tracy Arm-Ford's Terror Wilderness, Alaska",Scenic Landscape,Pro,null,28_IreneOwsley_ProWinner_Endicott_AK.jpg,Glacial Stream,Glacial Stream,Irene Owsley,"Potomac, Maryland","<p>Traveling by kayak for eight days with two wilderness rangers during an artists&rsquo; residency program in the Tracy Arm-Ford's Terror Wilderness, I was intensely aware of a world defined by moving water. Dawes Glacier, the great carver of this landscape, loomed above. In the glacial streams, water was constantly flowing, crushing and moving rock, working on the palette of the landscape. </p>
<p>I wanted make an image of these dynamic forces at work, and set up my tripod in the shallow part of the stream. I was captivated by the smooth granite slide, the multicolored rocks at its base, and the tide that moved in and out. The setting was primeval, exuding the essence of self-willed landscape.  </p>",Nikon D4; 24-70mm f/2.8 lens at 24 mm; f/22 at speeds from 1/3 sec to 1/50 sec (HDR 5-image panorama); ISO 100; Gitzo G1228 CF tripod; Kirk Enterprises ball head; Really Right Stuff pano elements pro package.,Winner,center,57.439,-133.001,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/28_IreneOwsley_ProWinner_Endicott_AK.jpg
